web-scraper-order,web-scraper-start-url,news-link,news-link-href
"1677582768-350","https://turnbackhoax.id/page/99","[SALAH] Ariel Noah Meninggal Dunia","https://turnbackhoax.id/2022/02/13/salah-ariel-noah-meninggal-dunia/"
"1677582768-351","https://turnbackhoax.id/page/99","[SALAH] Omicron Bukanlah Virus Melainkan Akibat Dari Keracunan Chemtrail Yang Disebar Di Udara","https://turnbackhoax.id/2022/02/13/salah-omicron-bukanlah-virus-melainkan-akibat-dari-keracunan-chemtrail-yang-disebar-di-udara/"
"1677582768-352","https://turnbackhoax.id/page/99","[SALAH] Video Warga Berhamburan Dampak Gempa Banten 4 Februari 2022","https://turnbackhoax.id/2022/02/13/salah-video-warga-berhamburan-dampak-gempa-banten-4-februari-2022/"
"1677582768-353","https://turnbackhoax.id/page/99","[SALAH] Foto “Barbershop dengan tukang cukur wanita di Jalan Pratu Rai Madra, Kabupaten Badung, Bali”","https://turnbackhoax.id/2022/02/12/salah-foto-barbershop-dengan-tukang-cukur-wanita-di-jalan-pratu-rai-madra-kabupaten-badung-bali/"
"1677582768-354","https://turnbackhoax.id/page/99","[SALAH] Cerita One Piece Baru 9 persen Karena One Piece Akan Mencapai 10.000 Episode","https://turnbackhoax.id/2022/02/12/salah-cerita-one-piece-baru-9-persen-karena-one-piece-akan-mencapai-10-000-episode/"
"1677582768-355","https://turnbackhoax.id/page/99","[SALAH] Campuran Daun Pepaya dan Jahe Dapat Sembuhkan Omicron","https://turnbackhoax.id/2022/02/12/salah-campuran-daun-pepaya-dan-jahe-dapat-sembuhkan-omicron/"
"1677582768-356","https://turnbackhoax.id/page/99","[SALAH] Cairan Pemutih Dan Sitrun Dapat Membersihkan Kerak Membandel","https://turnbackhoax.id/2022/02/11/salah-cairan-pemutih-dan-sitrun-dapat-membersihkan-kerak-membandel/"
"1677582768-357","https://turnbackhoax.id/page/99","[SALAH] Covid-19 Hoax Karena Narasinya Sudah Ada Sebelum Covid-19 Muncul","https://turnbackhoax.id/2022/02/11/salah-covid-19-hoax-karena-narasinya-sudah-ada-sebelum-covid-19-muncul/"
"1677582768-358","https://turnbackhoax.id/page/99","[SALAH] Vaksin Booster Menyebabkan Manusia Bertingkah Seperti Zombie","https://turnbackhoax.id/2022/02/11/salah-vaksin-booster-menyebabkan-manusia-bertingkah-seperti-zombie/"
"1677582768-359","https://turnbackhoax.id/page/99","[SALAH] Aplikasi Android untuk Scan Vaksin Covid-19 yang Terhubung Jaringan 5G","https://turnbackhoax.id/2022/02/11/salah-aplikasi-android-untuk-scan-vaksin-covid-19-yang-terhubung-jaringan-5g/"
"1677582768-360","https://turnbackhoax.id/page/99","[SALAH] Hindari ! Produk Ini Bisa Menyebabkan Usus Bocor","https://turnbackhoax.id/2022/02/11/salah-hindari-produk-ini-bisa-menyebabkan-usus-bocor/"
"1677582770-361","https://turnbackhoax.id/page/98","[SALAH] Bahasa Korea Telah Diadopsi Sebagai Bahasa Resmi Perserikatan Bangsa-Bangsa (PBB)","https://turnbackhoax.id/2022/02/17/salah-bahasa-korea-telah-diadopsi-sebagai-bahasa-resmi-perserikatan-bangsa-bangsa-pbb/"
"1677582770-362","https://turnbackhoax.id/page/98","[SALAH] Radiasi 5G Menyebabkan Gelaja Mirip Flu","https://turnbackhoax.id/2022/02/17/salah-radiasi-5g-menyebabkan-gelaja-mirip-flu/"
"1677582770-363","https://turnbackhoax.id/page/98","[SALAH] Artikel Tribunnews berjudul “Peneliti Jepang Ingatkan Indonesia,Bahaya Ngutang Terus Ke China,Bisa Seperti Negara Di Benua Afrika”","https://turnbackhoax.id/2022/02/16/salah-artikel-tribunnews-berjudul-peneliti-jepang-ingatkan-indonesiabahaya-ngutang-terus-ke-chinabisa-seperti-negara-di-benua-afrika/"
"1677582770-364","https://turnbackhoax.id/page/98","[SALAH]: Fenomena Langka Manusia Siluman","https://turnbackhoax.id/2022/02/16/salah-fenomena-langka-manusia-siluman/"
"1677582770-365","https://turnbackhoax.id/page/98","[SALAH]: Pilpres 2024 Dibatalkan Rakyat, Jokowi Kembali Diangkat Jadi Presiden","https://turnbackhoax.id/2022/02/16/salah-pilpres-2024-dibatalkan-rakyat-jokowi-kembali-diangkat-jadi-presiden/"
"1677582770-366","https://turnbackhoax.id/page/98","[SALAH] “Astagfirullah, Begini Perlakuan Terhadap Wanita Berhijab di India”","https://turnbackhoax.id/2022/02/16/salah-astagfirullah-begini-perlakuan-terhadap-wanita-berhijab-di-india/"
"1677582770-367","https://turnbackhoax.id/page/98","[SALAH] Akun Facebook Bupati Sambas “Hsatono Ssos” Menawarkan Lolos CPNS Tanpa Tes","https://turnbackhoax.id/2022/02/15/salah-akun-facebook-bupati-sambas-hsatono-ssos-menawarkan-lolos-cpns-tanpa-tes/"
"1677582770-368","https://turnbackhoax.id/page/98","[FALSE] “casino in Saudi”","https://turnbackhoax.id/2022/02/15/false-casino-in-saudi/"
"1677582770-369","https://turnbackhoax.id/page/98","[SALAH] Ular Mampu Memprediksi Gempa","https://turnbackhoax.id/2022/02/15/salah-ular-mampu-memprediksi-gempa/"
"1677582770-370","https://turnbackhoax.id/page/98","[SALAH] CHEMTRALIS Semua Udah Di Rencanakan Dan Di Rancang","https://turnbackhoax.id/2022/02/15/salah-chemtralis-semua-udah-di-rencanakan-dan-di-rancang/"
"1677582770-371","https://turnbackhoax.id/page/98","[SALAH] Terlihat Korban Covid-19 Tergeletak di Jalanan Ternyata Hanya Akting Belaka","https://turnbackhoax.id/2022/02/15/salah-terlihat-korban-covid-19-tergeletak-di-jalanan-ternyata-hanya-akting-belaka/"
"1677582770-372","https://turnbackhoax.id/page/98","[SALAH] Akun Twitter Mandiri Care, @CsMANDIRICARE","https://turnbackhoax.id/2022/02/15/salah-akun-twitter-mandiri-care-csmandiricare/"
"1677582770-373","https://turnbackhoax.id/page/98","[SALAH] Akun Facebook Wakil Walikota Bandar Lampung “Dedi Amrullah”","https://turnbackhoax.id/2022/02/14/salah-akun-facebook-wakil-walikota-bandar-lampung-dedi-amrullah/"
"1677582770-374","https://turnbackhoax.id/page/98","[SALAH] Akun Whatsapp Wakil Bupati Sigi Samuel Yansen Pongi “+6282143125327”","https://turnbackhoax.id/2022/02/14/salah-akun-whatsapp-wakil-bupati-sigi-samuel-yansen-pongi-6282143125327/"
"1677582770-375","https://turnbackhoax.id/page/98","[SALAH] Tindak Lanjut Penetapan SK Pengangkatan Sebagai CPNS TA 2019","https://turnbackhoax.id/2022/02/14/salah-tindak-lanjut-penetapan-sk-pengangkatan-sebagai-cpns-ta-2019/"
"1677582770-376","https://turnbackhoax.id/page/98","[SALAH] Panggilan Interview Kerja Diskominfo Jabar","https://turnbackhoax.id/2022/02/14/salah-panggilan-interview-kerja-diskominfo-jabar/"
"1677582770-377","https://turnbackhoax.id/page/98","[SALAH] Akun Whatsapp Sekretaris Daerah Kota Jambi A. Ridwan “+6283185378834”","https://turnbackhoax.id/2022/02/14/salah-akun-whatsapp-sekretaris-daerah-kota-jambi-a-ridwan-6283185378834/"
"1677582770-378","https://turnbackhoax.id/page/98","[SALAH] Pinjaman Online “AOJOL” yang Dikelola oleh Bank Indonesia dengan Nomor +6283107043453","https://turnbackhoax.id/2022/02/14/salah-pinjaman-online-aojol-yang-dikelola-oleh-bank-indonesia-dengan-nomor-6283107043453/"
"1677582770-379","https://turnbackhoax.id/page/98","[SALAH] Cerita Dalam Novel Telah Memprediksi Adanya Pandemi COVID-19","https://turnbackhoax.id/2022/02/14/salah-cerita-dalam-novel-telah-memprediksi-adanya-pandemi-covid-19/"
"1677582770-380","https://turnbackhoax.id/page/98","[SALAH] Akun WhatsApp JPT Pratama BKN dan KPE, Satya Pratama","https://turnbackhoax.id/2022/02/14/salah-akun-whatsapp-jpt-pratama-bkn-dan-kpe-satya-pratama/"
"1677582772-381","https://turnbackhoax.id/page/97","[SALAH] Bencana Alam Tanah Longsor di Wilayah Lebakbarang Menimbulkan 5 Korban Jiwa","https://turnbackhoax.id/2022/02/20/salah-bencana-alam-tanah-longsor-di-wilayah-lebakbarang-menimbulkan-5-korban-jiwa/"
"1677582772-382","https://turnbackhoax.id/page/97","[SALAH] Surat Edaran Kementerian Koordinator Perekonomian Republik Indonesia untuk Sponsorship Penerbitan Buku","https://turnbackhoax.id/2022/02/20/salah-surat-edaran-kementerian-koordinator-perekonomian-republik-indonesia-untuk-sponsorship-penerbitan-buku/"
"1677582772-383","https://turnbackhoax.id/page/97","[SALAH] Antibodi Covid-19 Membuat ASI Berubah Warna","https://turnbackhoax.id/2022/02/19/salah-antibodi-covid-19-membuat-asi-berubah-warna/"
"1677582772-384","https://turnbackhoax.id/page/97","[SALAH] HRS Membawa Kertas Bertuliskan “Happy Valentine Virza”","https://turnbackhoax.id/2022/02/19/salah-hrs-membawa-kertas-bertuliskan-happy-valentine-virza/"
"1677582772-385","https://turnbackhoax.id/page/97","[SALAH] Hadiah promosi aplikasi Pos Indonesia!","https://turnbackhoax.id/2022/02/19/salah-hadiah-promosi-aplikasi-pos-indonesia/"
"1677582772-386","https://turnbackhoax.id/page/97","[SALAH] Deteksi Covid 19 dengan Tahan Napas 10 Detik","https://turnbackhoax.id/2022/02/19/salah-deteksi-covid-19-dengan-tahan-napas-10-detik/"
"1677582772-387","https://turnbackhoax.id/page/97","[SALAH] Makanan Kaleng Mengandung Virus HIV Aids","https://turnbackhoax.id/2022/02/19/salah-makanan-kaleng-mengandung-virus-hiv-aids/"
"1677582772-388","https://turnbackhoax.id/page/97","[SALAH] Gambar artikel Kompas Berjudul “Kapolda Jateng : Kami menahan 64 orang aksi radikalis anarkis warga Wadas purworejo, yang ganggu proyek PT. Beijing Xi Wen”","https://turnbackhoax.id/2022/02/19/salah-gambar-artikel-kompas-berjudul-kapolda-jateng-kami-menahan-64-orang-aksi-radikalis-anarkis-warga-wadas-purworejo-yang-ganggu-proyek-pt-beijing-xi-wen/"
"1677582772-389","https://turnbackhoax.id/page/97","[SALAH]: Seorang Petugas PLN di Nguling Pasuran Tersetrum dan Terbakar di Tiang Listrik","https://turnbackhoax.id/2022/02/18/salah-seorang-petugas-pln-di-nguling-pasuran-tersetrum-dan-terbakar-di-tiang-listrik/"
"1677582772-390","https://turnbackhoax.id/page/97","[SALAH] Diadakan penertiban makam di TPU Karet Bivak, Jakarta Pusat","https://turnbackhoax.id/2022/02/18/salah-diadakan-penertiban-makam-di-tpu-karet-bivak-jakarta-pusat/"
"1677582772-391","https://turnbackhoax.id/page/97","[SALAH] Ashanty Meninggal Dunia","https://turnbackhoax.id/2022/02/18/salah-ashanty-meninggal-dunia/"
"1677582772-392","https://turnbackhoax.id/page/97","[SALAH] Foto “guru cantik yang memperkosa siswanya berkali-kali”","https://turnbackhoax.id/2022/02/18/salah-foto-guru-cantik-yang-memperkosa-siswanya-berkali-kali/"
"1677582772-393","https://turnbackhoax.id/page/97","[SALAH] Situs Microsoft yang Melayani Upgrade Sistem Operasi Windows 11","https://turnbackhoax.id/2022/02/18/salah-situs-microsoft-yang-melayani-upgrade-sistem-operasional-windows-11/"
"1677582772-394","https://turnbackhoax.id/page/97","[SALAH] Bentuk Virus Omicron Seperti Lambang Nazi","https://turnbackhoax.id/2022/02/18/salah-bentuk-virus-omicron-seperti-lambang-nazi/"
"1677582772-395","https://turnbackhoax.id/page/97","[SALAH] “Imam Masjid di Arab Saudi Dijatuhkan Secara Paksa Karena Mengkritik Pemerintah”","https://turnbackhoax.id/2022/02/18/salah-imam-masjid-di-arab-saudi-dijatuhkan-secara-paksa-karena-mengkritik-pemerintah/"
"1677582772-396","https://turnbackhoax.id/page/97","[SALAH] “Lagu MICHAEL JACKSON yang memuji kebesaran Agama Islam”","https://turnbackhoax.id/2022/02/18/salah-lagu-michael-jackson-yang-memuji-kebesaran-agama-islam/"
"1677582772-397","https://turnbackhoax.id/page/97","[SALAH] Pengantin Di Ghana Wajib Menggunakan Pakaian Pernikahan Saat Bercerai","https://turnbackhoax.id/2022/02/18/salah-pengantin-di-ghana-wajib-menggunakan-pakaian-pernikahan-saat-bercerai/"
"1677582772-398","https://turnbackhoax.id/page/97","[SALAH] BPJS Kesehatan Berikan Dana Bantuan Rp100 Juta","https://turnbackhoax.id/2022/02/17/salah-bpjs-kesehatan-berikan-dana-bantuan-rp100-juta/"
"1677582772-399","https://turnbackhoax.id/page/97","[SALAH] Video Situasi Terkini Terkait Krisis Antara Rusia dan Ukraina","https://turnbackhoax.id/2022/02/17/salah-video-situasi-terkini-terkait-krisis-antara-rusia-dan-ukraina/"
"1677582772-400","https://turnbackhoax.id/page/97","[SALAH] Asap Putih dari Pesawat Merupakan Chemtrail Senjata Biologis Berbahaya","https://turnbackhoax.id/2022/02/17/salah-asap-putih-dari-pesawat-merupakan-chemtrail-senjata-biologis-berbahaya/"
"1677582774-401","https://turnbackhoax.id/page/96","[SALAH] Grup Telegram “BADAN KOORDINASI PENANAMAN MODAL”","https://turnbackhoax.id/2022/02/23/salah-grup-telegram-badan-koordinasi-penanaman-modal/"
"1677582774-402","https://turnbackhoax.id/page/96","[SALAH] Video Warga Kanada Menghancurkan Kamp Karantina di luar Kota Ottawa","https://turnbackhoax.id/2022/02/23/salah-video-warga-kanada-menghancurkan-kamp-karantina-di-luar-kota-ottawa/"
"1677582774-403","https://turnbackhoax.id/page/96","[SALAH] Gambar Artikel CNN Indonesia Memperlihatkan Seseorang Memegang “KITAB belajar MENIPU”","https://turnbackhoax.id/2022/02/23/salah-gambar-artikel-cnn-indonesia-memperlihatkan-seseorang-memegang-kitab-belajar-menipu/"
"1677582774-404","https://turnbackhoax.id/page/96","[SALAH] Video Jokowi Mengatakan Berminat Menjadi Presiden 3 Periode","https://turnbackhoax.id/2022/02/23/salah-video-jokowi-mengatakan-berminat-menjadi-presiden-3-periode/"
"1677582774-405","https://turnbackhoax.id/page/96","[SALAH] Pemerintahan Joe Biden Memberikan 30 Juta Dollar Untuk Pipa Kokain kepada Komunitas Kulit Hitam di Amerika Serikat","https://turnbackhoax.id/2022/02/23/salah-pemerintahan-joe-biden-memberikan-30-juta-dollar-untuk-pipa-kokain-kepada-komunitas-kulit-hitam-di-amerika-serikat/"
"1677582774-406","https://turnbackhoax.id/page/96","[SALAH] Anies Resmi Ditahan KPK","https://turnbackhoax.id/2022/02/23/salah-anies-resmi-ditahan-kpk/"
"1677582774-407","https://turnbackhoax.id/page/96","[SALAH] Video Tanggul Kali Pemali Brebes Jebol pada 13 Februari 2022","https://turnbackhoax.id/2022/02/22/salah-video-tanggul-kali-pemali-brebes-jebol-pada-13-februari-2022/"
"1677582774-408","https://turnbackhoax.id/page/96","[SALAH] Akun Whatsapp Wakil Wali Kota Denpasar Kadek Agus Arya Wibawa “+6282143125934”","https://turnbackhoax.id/2022/02/22/salah-akun-whatsapp-wakil-wali-kota-denpasar-kadek-agus-arya-wibawa-6282143125934/"
"1677582774-409","https://turnbackhoax.id/page/96","[SALAH] Lowongan Dinas Pendidikan Kota Bogor","https://turnbackhoax.id/2022/02/22/salah-lowongan-dinas-pendidikan-kota-bogor/"
"1677582774-410","https://turnbackhoax.id/page/96","[SALAH] Akun Instagram PT Dua Kelinci Karir ‘@karir.duakelinci’","https://turnbackhoax.id/2022/02/22/salah-akun-instagram-pt-dua-kelinci-karir-karir-duakelinci/"
"1677582774-411","https://turnbackhoax.id/page/96","[SALAH] Gambar Desa Terbengkalai di Skotlandia","https://turnbackhoax.id/2022/02/22/salah-gambar-desa-terbengkalai-di-skotlandia/"
"1677582774-412","https://turnbackhoax.id/page/96","[SALAH] Akun Whatsapp Kadis Lingkungan Hidup Tangerang Tihar Sophian “+6281212351036”","https://turnbackhoax.id/2022/02/22/salah-akun-whatsapp-kadis-lingkungan-hidup-tangerang-tihar-sophian-6281212351036/"
"1677582774-413","https://turnbackhoax.id/page/96","[SALAH] Akun WhatsApp Sekretaris Daerah Kabupaten Buleleng Gede Suyasa “085834465848”","https://turnbackhoax.id/2022/02/22/salah-akun-whatsapp-sekretaris-daerah-kabupaten-buleleng-gede-suyasa-085834465848/"
"1677582774-414","https://turnbackhoax.id/page/96","[SALAH] Akun Whatsapp “+6283108819771” dan Facebook Wakil Wali Kota Malang “Sofyan Edi Jarwoko”","https://turnbackhoax.id/2022/02/22/salah-akun-whatsapp-6283108819771-dan-facebook-wakil-wali-kota-malang-sofyan-edi-jarwoko/"
"1677582774-415","https://turnbackhoax.id/page/96","[SALAH]: Bantuan Minyak Goreng Gratis di Tiap Desa Pada 29 Hingga 31 Februari 2022","https://turnbackhoax.id/2022/02/22/salah-bantuan-minyak-goreng-gratis-di-tiap-desa-pada-29-hingga-31-februari-2022/"
"1677582774-416","https://turnbackhoax.id/page/96","[SALAH] Akun Telegram OVO Menawarkan Investasi Reksadana","https://turnbackhoax.id/2022/02/22/salah-akun-telegram-ovo-menawarkan-investasi-reksadana/"
"1677582774-417","https://turnbackhoax.id/page/96","[SALAH] “Prancis menangkap seorang anak Mali dan mengencinginya di depan umum”","https://turnbackhoax.id/2022/02/21/salah-prancis-menangkap-seorang-anak-mali-dan-mengencinginya-di-depan-umum/"
"1677582774-418","https://turnbackhoax.id/page/96","[FALSE] “Mosque Imam in Saudi Arabia Taken Down by Force for Criticizing the Government”","https://turnbackhoax.id/2022/02/21/false-mosque-imam-in-saudi-arabia-taken-down-by-force-for-criticizing-the-government/"
"1677582774-419","https://turnbackhoax.id/page/96","[SALAH] Video Pasien Meninggal 15 Menit setelah Divaksin","https://turnbackhoax.id/2022/02/20/salah-video-pasien-meninggal-15-menit-setelah-divaksin/"
"1677582774-420","https://turnbackhoax.id/page/96","[SALAH] Burung Elang Mampu Hidup Hingga 70 Tahun","https://turnbackhoax.id/2022/02/20/salah-burung-elang-mampu-hidup-hingga-70-tahun/"
"1677582776-421","https://turnbackhoax.id/page/95","[SALAH] Akun Telegram BRI Danareksa Sekuritas","https://turnbackhoax.id/2022/02/24/salah-akun-telegram-bri-danareksa-sekuritas/"
"1677582776-422","https://turnbackhoax.id/page/95","[SALAH] Foto “Mercury, Venus, and Saturn align with the Giza pyramids once every 2737 years”","https://turnbackhoax.id/2022/02/24/salah-foto-mercury-venus-and-saturn-align-with-the-giza-pyramids-once-every-2737-years/"
"1677582776-423","https://turnbackhoax.id/page/95","[SALAH] Foto Pohon Membeku Akibat Hidran Meledak di Cuaca Dingin di Kanada","https://turnbackhoax.id/2022/02/24/salah-foto-pohon-membeku-akibat-hidran-meledak-di-cuaca-dingin-di-kanada/"
"1677582776-424","https://turnbackhoax.id/page/95","[SALAH] Foto “a polor bear doin in Arlington Texas”","https://turnbackhoax.id/2022/02/24/salah-foto-a-polor-bear-doin-in-arlington-texas/"
"1677582776-425","https://turnbackhoax.id/page/95","[SALAH] Video Habib Umar Terbang Saat Berdoa","https://turnbackhoax.id/2022/02/24/salah-video-habib-umar-terbang-saat-berdoa/"
"1677582776-426","https://turnbackhoax.id/page/95","[SALAH] Munarman Dijemput Allah, Petinggi FP1 Berkurang Lagi","https://turnbackhoax.id/2022/02/24/salah-munarman-dijemput-allah-petinggi-fp1-berkurang-lagi/"
"1677582776-427","https://turnbackhoax.id/page/95","[SALAH] Foto Protes Anti-Vaksin di Canberra, Australia Tahun 2022","https://turnbackhoax.id/2022/02/24/salah-foto-protes-anti-vaksin-di-canberra-australia-tahun-2022/"
"1677582776-428","https://turnbackhoax.id/page/95","[SALAH] Portal Berita Daily Mirror Menyebarluaskan Informasi Bahwa Penggunaan Mainan Seks Meningkatkan Resiko Serangan Jantung Bagi Wanita","https://turnbackhoax.id/2022/02/24/salah-portal-berita-daily-mirror-menyebarluaskan-informasi-bahwa-penggunaan-mainan-seks-meningkatkan-resiko-serangan-jantung-bagi-wanita/"
"1677582776-429","https://turnbackhoax.id/page/95","[SALAH] KFC Menulis Cuitan Dengan Gambar Ayam Goreng dan Tagar #BlackHistoryMonth","https://turnbackhoax.id/2022/02/24/salah-kfc-menulis-cuitan-dengan-gambar-ayam-goreng-dan-tagar-blackhistorymonth/"
